casetas,tramo_que_cobra,tipo_vehiculo,costo
Cipreses,Cipreses-San Mateo Nopala,motos,2.0
San Mateo Nopala,San Mateo Nopala-Lecheria,motos,23.0
San Mateo Nopala,San Mateo Nopala-Ent. San Miguel,motos,19.0
San Mateo Nopala,Sn Mateo Nopala-Lago de Guadalupe,motos,17.0
San Mateo Nopala,San Mateo Nopala-Atizapan,motos,13.0
San Mateo Nopala,San Mateo Nopala-Madin,motos,8.0
Madin,Madin-Lecheria,motos,13.0
Madin,Madin-Ent. San Miguel,motos,10.0
Madin,Madin-Lago de Guadalupe,motos,9.0
Madin,Madin-Atizapan,motos,3.0
Atizapan,Atizapan-Lecheria,motos,8.0
Atizapan,Atizapan-Ent. San Miguel,motos,5.0
Atizapan,Atizapan-Lago de Guadalupe,motos,4.0
Lago de Guadalupe,Lago de Guadalupe-Ent. San Miguel,motos,1.0
Lago de Guadalupe,Lago de Guadalupe-Lecheria,motos,3.0
Ent.San Miguel,Ent.San Miguel-Lecheria,motos,3.0
Lomas Verdes,Lomas Verdes-LecherÃ­a,motos,23.0
Lomas Verdes,Lomas Verdes-Ent.San Miguel,motos,19.0
Lomas Verdes,Lomas Verdes-Lago de Guadalupe,motos,17.0
Lomas Verdes,Lomas Verdes-AtizapÃ¡n,motos,13.0
Lomas Verdes,Lomas Verdes-Madin,motos,7.0
Lomas Verdes,Lomas Verdes-San Mateo Nopala,motos,8.0
Lomas Verdes,Lomas Verdes-Cipreses,motos,14.0
Lomas Verdes,Lomas Verdes-Cipreses,motos,13.0
Lomas Verdes,Lomas Verdes-Chamapa,motos,16.0
Lomas Verdes,Lomas Verdes-Chamapa,motos,16.0
El Zacatal,Zacatal-Ciudad del Carmen,motos,45.0
Tlalpan,Mexico - Cuernavaca,motos,61.0
Alpuyeca,Cuernavaca-Alpuyeca,motos,27.0
Paso Morelos,Pte de Ixtla-Chilpancingo,motos,82.0
Paso Morelos,Pte de Ixtla-Paso Morelos,motos,32.0
Paso Morelos,Paso Morelos-Chilpancingo,motos,50.0
Palo Blanco,Chilpancingo-Tierra Colorada,motos,75.0
La Venta,Tierra Colorada-Acapulco,motos,66.0
Xochitepec,Cuernavaca-Xochitepec,motos,12.0
Aeropuerto,Cuernavaca-Aeropuerto,motos,7.0
Aeropuerto,Aeropuerto-Cuernavaca,motos,7.0
Emiliano Zapata,Cuernavaca-Central de Abastos,motos,4.0
Tampico,Ent Cd Valles-Ent Altamira,motos,15.0
Tampico,Ent Cd Valles-Loma Real,motos,7.0
Tampico,Loma Real-Ent Altamira,motos,8.0
Cuitlahuac,Cordoba-La Tinaja,motos,59.0
Cuitlahuac,Cordoba-Cuitlahuac,motos,21.0
Cuitlahuac,Cuitlahuac-La Tinaja,motos,40.0
Paso del Toro,La Tinaja-Veracruz,motos,55.0
Paso del Toro,La Tinaja-Paso del Toro,motos,45.0
Paso del Toro,Paso del Toro-Veracruz,motos,9.0
Cosamaloapan,La Tinaja-Isla,motos,118.0
Cosamaloapan,La Tinaja-Cosamaloapan,motos,97.0
Cosamaloapan,Cosamaloapan-Isla,motos,20.0
Sayula,Isla-Cosoleacaque,motos,109.0
Sayula,Isla-Acayucan,motos,71.0
Sayula,Acayucan-Cosoleacaque,motos,40.0
Chichimequillas,Ent. Aut. Mex. Qro.-Ent. Qro. Slp,motos,26.0
Seybaplaya,Champoton-Campeche,motos,40.0
Seybaplaya,Villa Madero-Seybaplaya,motos,16.0
Seybaplaya,Seybaplaya-Campeche,motos,24.0
La Carbonera (Ojo Caliente),Libramiento Oriente Saltillo,motos,22.0
Los Chorros,La Carbonera-Puerto Mexico,motos,34.0
Huachichil,Ent. Huachichil-Ent. Tramo Los Chorros,motos,25.0
Estacion Don (La Jaula),Estacion Don-Navojoa,motos,46.0
Fundicion,Navojoa-Cd Obregon,motos,46.0
"Tres Marias ""A""",Tres Marias-Cuernavaca,motos,22.0
Esperanza,Cd Obregon-Guaymas,motos,46.0
Libramiento de Cd. Obregon (Lico),Libramiento de Cd. Obregon (Lico),motos,42.0
Guaymas,Libramiento Guaymas,motos,19.0
Hermosillo,Hermosillo-Magdalena,motos,46.0
Magdalena,Libramiento Magdalena,motos,15.0
Bermejillo,Gomez Palacio-Est Banderas,motos,65.0
Ceballos,Est Banderas-Corralitos,motos,74.0
Plan de Ayala,Loma Bonita-Plan de Ayala,motos,71.0
La Cuchilla,Matamoros-La Cuchilla,motos,40.0
Sanchez Magallanes (Aguadulce ),Agua Dulce-Cardenas,motos,42.0
Sanchez Magallanes (Aguadulce ),Agua Dulce-Entronque Magallanes,motos,20.0
Sanchez Magallanes (Aguadulce ),Entronque Magallanes-Cardenas,motos,21.0
Totomoxtle,Totomoxtle-Ent. el Pital,motos,24.0
Totomoxtle,Ent. Gutierrez Zamora-Nautla,motos,6.0
Las Choapas,Ent. Las Choapas-Ent. Nuevo Sacrificio,motos,42.0
Las Choapas,Ent. Las Choapas-Ent. Las Choapas Ii,motos,13.0
Las Choapas,Las Choapas Ii-Ent.Nuevo Sacrificio,motos,30.0
Malpasito,Ent. Nuevo Sacrificio-Ent. Raudales,motos,42.0
Malpasito,Ent. Nuevo Sacrificio-Malpasito,motos,23.0
Malpasito,Malpasito-Raudales,motos,19.0
Ocozocoautla (Ocuilapa),Ent. Raudales-Ent. Ocozocoautla,motos,42.0
Villagran,Villagran-Salamanca,motos,16.0
Ing. Francisco Velasco DurÃ¡n,Cuernavaca-Pte de Ixtla,motos,38.0
Alpuyeca,Alpuyeca-Pte de Ixtla,motos,12.0
Cerro Gordo,Celaya-Ent. Cerro Gordo,motos,24.0
Cerro Gordo,Ent. Cerro Gordo-Irapuato,motos,22.0
Cerro Gordo,Ent. Cerro Gordo-Salamanca,motos,6.0
San Marcos Bis,Mexico-Circuito Exterior Mexiquense,motos,11.0
Nodo Popotla,La Mision-Corredor 2000,motos,18.0
Lagos de Moreno,Lagos de Moreno - Villa de Arriaga,motos,59.0
Ozumba,Amecameca - Nepantla,motos,27.0
Aeropuerto Los Cabos,San Jose del Cabo-Aeropuerto Los Cabos,motos,21.0
Aeropuerto Los Cabos,Cabo San Lucas-Aeropuerto Los Cabos,motos,48.0
Aeropuerto Los Cabos,El Mangle-Aeropuerto Los Cabos,motos,51.0
San Lucas,Aeropuerto Los Cabos-Cabo San Lucas,motos,48.0
San Lucas,San Jose del Cabo-Cabo San Lucas,motos,37.0
San Lucas,El Mangle-Cabo San Lucas,motos,22.0
El Mangle,Aeropuerto Los Cabos-El Mangle,motos,51.0
El Mangle,San JosÃ© del Cabo-El Mangle,motos,40.0
El Mangle,Cabo San Lucas-El Mangle,motos,22.0
Apaseo,Celaya-Apaseo,motos,20.0
Tepoztlan,La Pera - Oaxtepec,motos,17.0
Oacalco,Oaxtepec - Cuautla,motos,17.0
Amozoc,Puebla-Acatzingo,motos,37.0
Amozoc,Puebla-Amozoc,motos,19.0
Amozoc-Perote,Puebla-Ent. Amozoc-Perote,motos,7.0
Esperanza,Acatzingo-Cd Mendoza,motos,72.0
Esperanza,Acatzingo-Esperanza,motos,37.0
Esperanza,Esperanza-Cd. Mendoza,motos,37.0
Iguala,Puente de Ixtla-Iguala,motos,45.0
Playas de Tijuana,Tijuana-Rosarito,motos,20.0
Rosarito,Rosarito-La Mision,motos,20.0
Ensenada,La Mision-Ensenada,motos,22.0
Tepotzotlan,Tepalcapa - Tepeji,motos,46.0
Salamanca,Celaya-Irapuato,motos,43.0
Salamanca,Celaya-Salamanca,motos,30.0
Salamanca,Salamanca-Irapuato,motos,15.0
Fortin,Cd. Mendoza - Cordoba,motos,17.0
Fortin,Cd. Mendoza - Fortin,motos,7.0
Palmillas,Tepeji-Palmillas,motos,46.0
Zacapalco,Zacapalco-Rancho Viejo,motos,18.0
Taxco,Rancho Viejo-Taxco,motos,8.0
Queretaro,Queretaro-Celaya,motos,43.0
Queretaro Bis,Queretaro-Ent. Lib Suroeste de Qro,motos,4.0
Queretaro Bis,Ent. Lib Suroeste de Qro-Celaya,motos,40.0
Jorobas,Jorobas-Tepeji,motos,30.0
Jorobas,Circuito Exterior Mexiquense,motos,30.0
San Marcos,Mexico-San Martin Texmelucan,motos,70.0
Polotitlan,Tepeji-Polotitlan,motos,41.0
Chalco,Mexico-Chalco,motos,11.0
Tehuacan,Cuacnopalan-Tehuacan,motos,23.0
Miahuatlan,Tehuacan-Miahuatlan,motos,16.0
Suchixtlahuaca,Miahuatlan-Nochixtlan,motos,40.0
Suchixtlahuaca,Miahuatlan-Coixtlahuaca,motos,19.0
Huitzo,Nochixtlan-Oaxaca,motos,46.0
Huitzo,Nochixtlan-Huitzo,motos,39.0
Huitzo,Huitzo-Oaxaca,motos,15.0
Huitzo,Huitzo-Nochixtlan,motos,39.0
San Martin a Puebla,San Martin Texmelucan-Puebla,motos,22.0
El Hongo,La Rumorosa-Tecate,motos,43.0
El Hongo,El Hongo-Tecate,motos,20.0
El Hongo,La Rumorosa-El Hongo,motos,20.0
San Jose del Cabo,Aeropuerto Los Cabos-San Jose del Cabo,motos,21.0
San Jose del Cabo,Cabo San Lucas-San JosÃ© del Cabo,motos,37.0
San Jose del Cabo,El Mangle-San JosÃ© del Cabo,motos,40.0
Tehuantepec,Salina Cruz-Tehuantepec,motos,20.0
Ixtepec,Tehuantepec- la Ventosa,motos,40.0
Ixtepec,Tehuantepec- Ixtepec,motos,20.0
Ixtepec,Ixtepec - la Ventosa,motos,20.0
Durango,Libramiento de Durango-Ent. Otinapa,motos,34.0
Llano Grande,Ent. Otinapa-Ent. Piloncillo,motos,51.0
Coscomate,Ent. Piloncillo-Santa Lucia,motos,162.0
Mesillas,Santa LucÃ­a-MazatlÃ¡n (Villa UniÃ³n),motos,85.0
Mesillas,Santa LucÃ­a-La Concordia,motos,64.0
Mesillas,La Concordia-MazatlÃ¡n (Villa UniÃ³n),motos,21.0
Chamapa,Chamapa-Lecheria,motos,28.0
Chamapa,Chamapa-Ent. San Miguel,motos,25.0
Chamapa,Chamapa-Lago de Guadalupe,motos,24.0
Chamapa,Chamapa-Atizapan,motos,19.0
Chamapa,Chamapa-Madin,motos,14.0
Chamapa,Chamapa-San Mateo Nopala,motos,5.0
Chamapa,Chamapa-Cipreses,motos,3.0
Cipreses,Cipreses-Lecheria,motos,25.0
Cipreses,Cipreses-Ent. San Miguel,motos,21.0
Cipreses,Cipreses-Lago de Guadalupe,motos,21.0
Cipreses,Cipreses-Atizapan,motos,16.0
Cipreses,Cipreses-Madin,motos,11.0
Cipreses,Cipreses-San Mateo Nopala,motos,2.0
San Mateo Nopala,San Mateo Nopala-Lecheria,motos,24.0
San Mateo Nopala,San Mateo Nopala-Ent. San Miguel,motos,20.0
San Mateo Nopala,Sn Mateo Nopala-Lago de Guadalupe,motos,18.0
San Mateo Nopala,San Mateo Nopala-Atizapan,motos,14.0
San Mateo Nopala,San Mateo Nopala-Madin,motos,9.0
Madin,Madin-Lecheria,motos,14.0
Madin,Madin-Ent. San Miguel,motos,10.0
Madin,Madin-Lago de Guadalupe,motos,9.0
Madin,Madin-Atizapan,motos,3.0
Atizapan,Atizapan-Lecheria,motos,9.0
Atizapan,Atizapan-Ent. San Miguel,motos,5.0
Atizapan,Atizapan-Lago de Guadalupe,motos,4.0
Lago de Guadalupe,Lago de Guadalupe-Ent. San Miguel,motos,1.0
Lago de Guadalupe,Lago de Guadalupe-Lecheria,motos,3.0
Ent.San Miguel,Ent.San Miguel-Lecheria,motos,3.0
Lomas Verdes,Lomas Verdes-LecherÃ­a,motos,24.0
Lomas Verdes,Lomas Verdes-Ent.San Miguel,motos,20.0
Lomas Verdes,Lomas Verdes-Lago de Guadalupe,motos,17.0
Lomas Verdes,Lomas Verdes-AtizapÃ¡n,motos,14.0
Lomas Verdes,Lomas Verdes-Madin,motos,7.0
Lomas Verdes,Lomas Verdes-San Mateo Nopala,motos,9.0
Tlalpan,Mexico - Cuernavaca,motos,63.0
Alpuyeca,Cuernavaca-Alpuyeca,motos,28.0
Paso Morelos,Pte de Ixtla-Chilpancingo,motos,84.0
Paso Morelos,Pte de Ixtla-Paso Morelos,motos,33.0
Paso Morelos,Paso Morelos-Chilpancingo,motos,51.0
Palo Blanco,Chilpancingo-Tierra Colorada,motos,78.0
La Venta,Tierra Colorada-Acapulco,motos,69.0
Xochitepec,Cuernavaca-Xochitepec,motos,13.0
Aeropuerto,Cuernavaca-Aeropuerto,motos,7.0
Aeropuerto,Aeropuerto-Cuernavaca,motos,7.0
Emiliano Zapata,Cuernavaca-Central de Abastos,motos,4.0
Tampico,Ent Cd Valles-Ent Altamira,motos,15.0
Tampico,Ent Cd Valles-Loma Real,motos,7.0
Tampico,Loma Real-Ent Altamira,motos,8.0
Cuitlahuac,Cordoba-La Tinaja,motos,59.0
Cuitlahuac,Cordoba-Cuitlahuac,motos,21.0
Cuitlahuac,Cuitlahuac-La Tinaja,motos,40.0
Paso del Toro,La Tinaja-Veracruz,motos,55.0
Paso del Toro,La Tinaja-Paso del Toro,motos,45.0
Paso del Toro,Paso del Toro-Veracruz,motos,9.0
Cosamaloapan,La Tinaja-Isla,motos,118.0
Cosamaloapan,La Tinaja-Cosamaloapan,motos,97.0
Cosamaloapan,Cosamaloapan-Isla,motos,20.0
Sayula,Isla-Cosoleacaque,motos,109.0
Sayula,Isla-Acayucan,motos,71.0
Sayula,Acayucan-Cosoleacaque,motos,40.0
Chichimequillas,Ent. Aut. Mex. Qro.-Ent. Qro. Slp,motos,26.0
Seybaplaya,Champoton-Campeche,motos,40.0
Seybaplaya,Villa Madero-Seybaplaya,motos,16.0
Seybaplaya,Seybaplaya-Campeche,motos,24.0
La Carbonera (Ojo Caliente),Libramiento Oriente Saltillo,motos,22.0
Los Chorros,La Carbonera-Puerto Mexico,motos,34.0
Huachichil,Ent. Huachichil-Ent. Tramo Los Chorros,motos,25.0
Estacion Don (La Jaula),Estacion Don-Navojoa,motos,46.0
Fundicion,Navojoa-Cd Obregon,motos,46.0
"Tres Marias ""A""",Tres Marias-Cuernavaca,motos,22.0
Esperanza,Cd Obregon-Guaymas,motos,46.0
Libramiento de Cd. Obregon (Lico),Libramiento de Cd. Obregon (Lico),motos,42.0
Guaymas,Libramiento Guaymas,motos,19.0
Hermosillo,Hermosillo-Magdalena,motos,46.0
Magdalena,Libramiento Magdalena,motos,15.0
Bermejillo,Gomez Palacio-Est Banderas,motos,65.0
Ceballos,Est Banderas-Corralitos,motos,74.0
Plan de Ayala,Loma Bonita-Plan de Ayala,motos,71.0
La Cuchilla,Matamoros-La Cuchilla,motos,40.0
Sanchez Magallanes (Aguadulce ),Agua Dulce-Cardenas,motos,42.0
Sanchez Magallanes (Aguadulce ),Agua Dulce-Entronque Magallanes,motos,20.0
Sanchez Magallanes (Aguadulce ),Entronque Magallanes-Cardenas,motos,21.0
Totomoxtle,Totomoxtle-Ent. el Pital,motos,24.0
Las Choapas,Ent. Las Choapas-Ent. Nuevo Sacrificio,motos,42.0
Las Choapas,Ent. Las Choapas-Ent. Las Choapas Ii,motos,13.0
Las Choapas,Las Choapas Ii-Ent.Nuevo Sacrificio,motos,30.0
Malpasito,Ent. Nuevo Sacrificio-Ent. Raudales,motos,42.0
Malpasito,Ent. Nuevo Sacrificio-Malpasito,motos,23.0
Malpasito,Malpasito-Raudales,motos,19.0
Ocozocoautla (Ocuilapa),Ent. Raudales-Ent. Ocozocoautla,motos,42.0
Villagran,Villagran-Salamanca,motos,16.0
Ing. Francisco Velasco DurÃ¡n,Cuernavaca-Pte de Ixtla,motos,40.0
Alpuyeca,Alpuyeca-Pte de Ixtla,motos,12.0
Cerro Gordo,Celaya-Ent. Cerro Gordo,motos,24.0
Cerro Gordo,Ent. Cerro Gordo-Irapuato,motos,22.0
Cerro Gordo,Ent. Cerro Gordo-Salamanca,motos,6.0
San Marcos Bis,Mexico-Circuito Exterior Mexiquense,motos,11.0
Nodo Popotla,La Mision-Corredor 2000,motos,18.0
Lagos de Moreno,Lagos de Moreno - Villa de Arriaga,motos,59.0
Ozumba,Amecameca - Nepantla,motos,27.0
Aeropuerto Los Cabos,San Jose del Cabo-Aeropuerto Los Cabos,motos,21.0
Aeropuerto Los Cabos,Cabo San Lucas-Aeropuerto Los Cabos,motos,48.0
Aeropuerto Los Cabos,El Mangle-Aeropuerto Los Cabos,motos,51.0
San Lucas,Aeropuerto Los Cabos-Cabo San Lucas,motos,48.0
San Lucas,San Jose del Cabo-Cabo San Lucas,motos,37.0
San Lucas,El Mangle-Cabo San Lucas,motos,22.0
El Mangle,Aeropuerto Los Cabos-El Mangle,motos,51.0
El Mangle,San JosÃ© del Cabo-El Mangle,motos,40.0
El Mangle,Cabo San Lucas-El Mangle,motos,22.0
Apaseo,Celaya-Apaseo,motos,20.0
Tepoztlan,La Pera - Oaxtepec,motos,17.0
Oacalco,Oaxtepec - Cuautla,motos,17.0
Amozoc,Puebla-Acatzingo,motos,37.0
Amozoc,Puebla-Amozoc,motos,19.0
Amozoc-Perote,Puebla-Ent. Amozoc-Perote,motos,7.0
Esperanza,Acatzingo-Cd Mendoza,motos,72.0
Esperanza,Acatzingo-Esperanza,motos,37.0
Esperanza,Esperanza-Cd. Mendoza,motos,37.0
Iguala,Puente de Ixtla-Iguala,motos,45.0
Playas de Tijuana,Tijuana-Rosarito,motos,20.0
Rosarito,Rosarito-La Mision,motos,20.0
Ensenada,La Mision-Ensenada,motos,22.0
Tepotzotlan,Tepalcapa - Tepeji,motos,46.0
Salamanca,Celaya-Irapuato,motos,43.0
Salamanca,Celaya-Salamanca,motos,30.0
Salamanca,Salamanca-Irapuato,motos,15.0
Fortin,Cd. Mendoza - Cordoba,motos,17.0
Fortin,Cd. Mendoza - Fortin,motos,7.0
Palmillas,Tepeji-Palmillas,motos,46.0
Zacapalco,Zacapalco-Rancho Viejo,motos,18.0
Taxco,Rancho Viejo-Taxco,motos,8.0
Queretaro,Queretaro-Celaya,motos,43.0
Queretaro Bis,Queretaro-Ent. Lib Suroeste de Qro,motos,4.0
Queretaro Bis,Ent. Lib Suroeste de Qro-Celaya,motos,40.0
Jorobas,Jorobas-Tepeji,motos,30.0
Jorobas,Circuito Exterior Mexiquense,motos,30.0
San Marcos,Mexico-San Martin Texmelucan,motos,70.0
Polotitlan,Tepeji-Polotitlan,motos,41.0
Chalco,Mexico-Chalco,motos,11.0
Tehuacan,Cuacnopalan-Tehuacan,motos,23.0
Miahuatlan,Tehuacan-Miahuatlan,motos,16.0
Suchixtlahuaca,Miahuatlan-Nochixtlan,motos,40.0
Suchixtlahuaca,Miahuatlan-Coixtlahuaca,motos,19.0
Huitzo,Nochixtlan-Oaxaca,motos,46.0
Huitzo,Nochixtlan-Huitzo,motos,39.0
Huitzo,Huitzo-Oaxaca,motos,15.0
Huitzo,Huitzo-Nochixtlan,motos,39.0
San Martin a Puebla,San Martin Texmelucan-Puebla,motos,22.0
El Hongo,La Rumorosa-Tecate,motos,43.0
El Hongo,El Hongo-Tecate,motos,20.0
El Hongo,La Rumorosa-El Hongo,motos,20.0
San Jose del Cabo,Aeropuerto Los Cabos-San Jose del Cabo,motos,21.0
San Jose del Cabo,Cabo San Lucas-San JosÃ© del Cabo,motos,37.0
San Jose del Cabo,El Mangle-San JosÃ© del Cabo,motos,40.0
Tehuantepec,Salina Cruz-Tehuantepec,motos,20.0
Ixtepec,Tehuantepec- la Ventosa,motos,40.0
Ixtepec,Tehuantepec- Ixtepec,motos,20.0
Ixtepec,Ixtepec - la Ventosa,motos,20.0
Durango,Libramiento de Durango-Ent. Otinapa,motos,34.0
Llano Grande,Ent. Otinapa-Ent. Piloncillo,motos,51.0
Coscomate,Ent. Piloncillo-Santa Lucia,motos,162.0
Mesillas,Santa LucÃ­a-MazatlÃ¡n (Villa UniÃ³n),motos,85.0
Mesillas,Santa LucÃ­a-La Concordia,motos,64.0
Mesillas,La Concordia-MazatlÃ¡n (Villa UniÃ³n),motos,21.0
El Zacatal,Zacatal-Ciudad del Carmen,motos,46.0
Tlalpan,Mexico - Cuernavaca,motos,68.0
Alpuyeca,Cuernavaca-Alpuyeca,motos,30.0
Paso Morelos,Pte de Ixtla-Chilpancingo,motos,91.0
Paso Morelos,Pte de Ixtla-Paso Morelos,motos,35.0
Paso Morelos,Paso Morelos-Chilpancingo,motos,55.0
Palo Blanco,Chilpancingo-Tierra Colorada,motos,84.0
La Venta,Tierra Colorada-Acapulco,motos,74.0
Xochitepec,Cuernavaca-Xochitepec,motos,14.0
Aeropuerto,Cuernavaca-Aeropuerto,motos,7.0
Aeropuerto,Aeropuerto-Cuernavaca,motos,7.0
Emiliano Zapata,Cuernavaca-Central de Abastos,motos,5.0
Tampico,Ent Cd Valles-Ent Altamira,motos,16.0
Tampico,Ent Cd Valles-Loma Real,motos,8.0
Tampico,Loma Real-Ent Altamira,motos,8.0
Cuitlahuac,Cordoba-La Tinaja,motos,63.0
Cuitlahuac,Cordoba-Cuitlahuac,motos,22.0
Cuitlahuac,Cuitlahuac-La Tinaja,motos,43.0
Paso del Toro,La Tinaja-Veracruz,motos,60.0
Paso del Toro,La Tinaja-Paso del Toro,motos,48.0
Paso del Toro,Paso del Toro-Veracruz,motos,9.0
Cosamaloapan,La Tinaja-Isla,motos,127.0
Cosamaloapan,La Tinaja-Cosamaloapan,motos,105.0
Cosamaloapan,Cosamaloapan-Isla,motos,21.0
Sayula,Isla-Cosoleacaque,motos,118.0
Sayula,Isla-Acayucan,motos,76.0
Sayula,Acayucan-Cosoleacaque,motos,43.0
Chichimequillas,Ent. Aut. Mex. Qro.-Ent. Qro. Slp,motos,28.0
Seybaplaya,Champoton-Campeche,motos,43.0
Seybaplaya,Villa Madero-Seybaplaya,motos,18.0
Seybaplaya,Seybaplaya-Campeche,motos,26.0
La Carbonera (Ojo Caliente),Libramiento Oriente Saltillo,motos,23.0
Los Chorros,La Carbonera-Puerto Mexico,motos,36.0
Huachichil,Ent. Huachichil-Ent. Tramo Los Chorros,motos,27.0
Estacion Don (La Jaula),Estacion Don-Navojoa,motos,50.0
Fundicion,Navojoa-Cd Obregon,motos,50.0
"Tres Marias ""A""",Tres Marias-Cuernavaca,motos,24.0
Esperanza,Cd Obregon-Guaymas,motos,50.0
Libramiento de Cd. Obregon (Lico),Libramiento de Cd. Obregon (Lico),motos,45.0
Guaymas,Libramiento Guaymas,motos,21.0
Hermosillo,Hermosillo-Magdalena,motos,50.0
Magdalena,Libramiento Magdalena,motos,16.0
Bermejillo,Gomez Palacio-Est Banderas,motos,70.0
Ceballos,Est Banderas-Corralitos,motos,80.0
Plan de Ayala,Loma Bonita-Plan de Ayala,motos,77.0
La Cuchilla,Matamoros-La Cuchilla,motos,43.0
Sanchez Magallanes (Aguadulce ),Agua Dulce-Cardenas,motos,46.0
Sanchez Magallanes (Aguadulce ),Agua Dulce-Entronque Magallanes,motos,21.0
Sanchez Magallanes (Aguadulce ),Entronque Magallanes-Cardenas,motos,22.0
Totomoxtle,Totomoxtle-Ent. el Pital,motos,26.0
Las Choapas,Ent. Las Choapas-Ent. Nuevo Sacrificio,motos,46.0
Las Choapas,Ent. Las Choapas-Ent. Las Choapas Ii,motos,14.0
Las Choapas,Las Choapas Ii-Ent.Nuevo Sacrificio,motos,33.0
Malpasito,Ent. Nuevo Sacrificio-Ent. Raudales,motos,46.0
Malpasito,Ent. Nuevo Sacrificio-Malpasito,motos,25.0
Malpasito,Malpasito-Raudales,motos,21.0
Ocozocoautla (Ocuilapa),Ent. Raudales-Ent. Ocozocoautla,motos,46.0
Villagran,Villagran-Salamanca,motos,18.0
Ing. Francisco Velasco DurÃ¡n,Cuernavaca-Pte de Ixtla,motos,43.0
Alpuyeca,Alpuyeca-Pte de Ixtla,motos,13.0
Cerro Gordo,Celaya-Ent. Cerro Gordo,motos,26.0
Cerro Gordo,Ent. Cerro Gordo-Irapuato,motos,23.0
Cerro Gordo,Ent. Cerro Gordo-Salamanca,motos,7.0
San Marcos Bis,Mexico-Circuito Exterior Mexiquense,motos,12.0
Nodo Popotla,La Mision-Corredor 2000,motos,19.0
Lagos de Moreno,Lagos de Moreno - Villa de Arriaga,motos,63.0
Ozumba,Amecameca - Nepantla,motos,29.0
Aeropuerto Los Cabos,San Jose del Cabo-Aeropuerto Los Cabos,motos,22.0
Aeropuerto Los Cabos,Cabo San Lucas-Aeropuerto Los Cabos,motos,52.0
Aeropuerto Los Cabos,El Mangle-Aeropuerto Los Cabos,motos,55.0
San Lucas,Aeropuerto Los Cabos-Cabo San Lucas,motos,52.0
San Lucas,San Jose del Cabo-Cabo San Lucas,motos,40.0
San Lucas,El Mangle-Cabo San Lucas,motos,23.0
El Mangle,Aeropuerto Los Cabos-El Mangle,motos,55.0
El Mangle,San JosÃ© del Cabo-El Mangle,motos,43.0
El Mangle,Cabo San Lucas-El Mangle,motos,23.0
Apaseo,Celaya-Apaseo,motos,21.0
Tepoztlan,La Pera - Oaxtepec,motos,19.0
Oacalco,Oaxtepec - Cuautla,motos,17.0
Amozoc,Puebla-Acatzingo,motos,40.0
Amozoc,Puebla-Amozoc,motos,21.0
Amozoc-Perote,Puebla-Ent. Amozoc-Perote,motos,7.0
Esperanza,Acatzingo-Cd Mendoza,motos,78.0
Esperanza,Acatzingo-Esperanza,motos,40.0
Esperanza,Esperanza-Cd. Mendoza,motos,40.0
Iguala,Puente de Ixtla-Iguala,motos,49.0
Playas de Tijuana,Tijuana-Rosarito,motos,21.0
Rosarito,Rosarito-La Mision,motos,21.0
Ensenada,La Mision-Ensenada,motos,23.0
Tepotzotlan,Tepalcapa - Tepeji,motos,49.0
Salamanca,Celaya-Irapuato,motos,46.0
Salamanca,Celaya-Salamanca,motos,32.0
Salamanca,Salamanca-Irapuato,motos,16.0
Fortin,Cd. Mendoza - Cordoba,motos,18.0
Fortin,Cd. Mendoza - Fortin,motos,8.0
Palmillas,Tepeji-Palmillas,motos,49.0
Zacapalco,Zacapalco-Rancho Viejo,motos,20.0
Taxco,Rancho Viejo-Taxco,motos,8.0
Queretaro,Queretaro-Celaya,motos,46.0
Queretaro Bis,Queretaro-Ent. Lib Suroeste de Qro,motos,5.0
Queretaro Bis,Ent. Lib Suroeste de Qro-Celaya,motos,43.0
Jorobas,Jorobas-Tepeji,motos,33.0
Jorobas,Circuito Exterior Mexiquense,motos,33.0
San Marcos,Mexico-San Martin Texmelucan,motos,75.0
Polotitlan,Tepeji-Polotitlan,motos,44.0
Chalco,Mexico-Chalco,motos,12.0
Tehuacan,Cuacnopalan-Tehuacan,motos,25.0
Miahuatlan,Tehuacan-Miahuatlan,motos,18.0
Suchixtlahuaca,Miahuatlan-Nochixtlan,motos,43.0
Suchixtlahuaca,Miahuatlan-Coixtlahuaca,motos,21.0
Huitzo,Nochixtlan-Oaxaca,motos,50.0
Huitzo,Nochixtlan-Huitzo,motos,42.0
Huitzo,Huitzo-Oaxaca,motos,16.0
Huitzo,Huitzo-Nochixtlan,motos,42.0
San Martin a Puebla,San Martin Texmelucan-Puebla,motos,23.0
El Hongo,La Rumorosa-Tecate,motos,47.0
El Hongo,El Hongo-Tecate,motos,21.0
El Hongo,La Rumorosa-El Hongo,motos,21.0
San Jose del Cabo,Aeropuerto Los Cabos-San Jose del Cabo,motos,22.0
San Jose del Cabo,Cabo San Lucas-San JosÃ© del Cabo,motos,40.0
San Jose del Cabo,El Mangle-San JosÃ© del Cabo,motos,43.0
Tehuantepec,Salina Cruz-Tehuantepec,motos,21.0
Ixtepec,Tehuantepec- la Ventosa,motos,43.0
Ixtepec,Tehuantepec- Ixtepec,motos,21.0
Ixtepec,Ixtepec - la Ventosa,motos,21.0
Durango,Libramiento de Durango-Ent. Otinapa,motos,37.0
Llano Grande,Ent. Otinapa-Ent. Piloncillo,motos,55.0
Coscomate,Ent. Piloncillo-Santa Lucia,motos,175.0
